               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.026231,            0.014319,           0.0028239,             0.96737,             0.95733,             0.97491,             0.69545,            0.027343,            0.010348,           0.0020143,             0.00571,             0.00571,             0.00571
                 132,            0.026957,            0.015998,           0.0024523,             0.97084,             0.96695,             0.97586,             0.64147,            0.025524,           0.0097318,           0.0018533,            0.005677,            0.005677,            0.005677
                 133,            0.027673,            0.015258,           0.0023256,             0.96095,             0.96683,             0.97541,             0.73592,            0.025213,           0.0097341,           0.0018388,            0.005644,            0.005644,            0.005644
                 134,            0.026221,            0.014133,           0.0025239,             0.95975,             0.98201,             0.98279,             0.67144,            0.026373,           0.0097197,           0.0017571,            0.005611,            0.005611,            0.005611
                 135,            0.024789,            0.015038,           0.0029096,             0.96553,             0.96429,             0.97451,             0.75234,            0.022719,           0.0095696,           0.0017479,            0.005578,            0.005578,            0.005578
                 136,             0.02647,            0.014575,           0.0022596,             0.94792,             0.95959,             0.97524,             0.59801,            0.028667,           0.0098382,           0.0016535,            0.005545,            0.005545,            0.005545
                 137,            0.026984,             0.01336,           0.0021297,             0.94977,             0.97152,             0.97439,             0.64382,            0.027443,           0.0096502,           0.0015745,            0.005512,            0.005512,            0.005512
                 138,            0.027087,            0.014986,           0.0026965,             0.95696,             0.97679,             0.97834,             0.70719,            0.024099,           0.0095821,           0.0015123,            0.005479,            0.005479,            0.005479
                 139,            0.025671,            0.015813,           0.0026406,             0.94605,             0.95917,             0.97927,             0.73538,            0.024082,           0.0095111,           0.0014501,            0.005446,            0.005446,            0.005446
                 140,            0.024319,            0.014953,           0.0024851,             0.96369,             0.96431,             0.98103,             0.74427,            0.022464,           0.0094853,           0.0013981,            0.005413,            0.005413,            0.005413
                 141,            0.024308,            0.014502,           0.0025545,             0.96078,             0.95973,             0.97486,             0.72029,            0.025954,           0.0098588,           0.0013488,             0.00538,             0.00538,             0.00538
                 142,            0.024574,            0.015178,            0.002939,             0.96316,             0.96523,             0.97732,             0.74552,            0.023118,           0.0095298,           0.0013354,            0.005347,            0.005347,            0.005347
                 143,            0.024144,            0.014377,           0.0033454,             0.95898,             0.97251,             0.98014,             0.73436,            0.024248,           0.0095348,           0.0014045,            0.005314,            0.005314,            0.005314
                 144,            0.023366,            0.014344,           0.0027771,             0.96863,             0.95983,             0.97514,             0.73648,            0.024046,           0.0097593,           0.0014316,            0.005281,            0.005281,            0.005281
                 145,            0.024002,             0.01531,           0.0032237,             0.96601,             0.96262,              0.9755,             0.72694,            0.022612,            0.009681,           0.0015466,            0.005248,            0.005248,            0.005248
                 146,            0.024158,            0.014427,           0.0029711,             0.96598,             0.96847,             0.97542,             0.72662,            0.023546,           0.0098783,           0.0016122,            0.005215,            0.005215,            0.005215
                 147,            0.024274,            0.014888,           0.0026519,             0.96678,             0.97038,              0.9797,              0.7198,            0.023074,           0.0097149,           0.0017316,            0.005182,            0.005182,            0.005182
                 148,            0.023363,            0.015721,           0.0021955,             0.96382,             0.98268,             0.98179,             0.73804,            0.022755,           0.0096436,           0.0017274,            0.005149,            0.005149,            0.005149
                 149,            0.023451,            0.014745,           0.0022474,             0.95225,             0.97521,             0.98061,             0.69845,            0.024727,           0.0095941,           0.0016822,            0.005116,            0.005116,            0.005116
                 150,            0.023604,            0.013842,           0.0022642,             0.95048,             0.97124,             0.97557,             0.76705,            0.022344,           0.0094824,           0.0016176,            0.005083,            0.005083,            0.005083
                 151,            0.024436,            0.013532,            0.002085,             0.96198,             0.97677,              0.9837,             0.76131,            0.026425,           0.0097915,           0.0014969,             0.00505,             0.00505,             0.00505
                 152,            0.025272,            0.015884,           0.0021348,             0.97298,             0.97737,             0.98063,             0.75553,            0.022312,            0.009705,           0.0014247,            0.005017,            0.005017,            0.005017
                 153,            0.024029,            0.014189,           0.0018044,             0.96887,              0.9718,             0.97577,             0.72788,            0.026494,            0.010084,            0.001376,            0.004984,            0.004984,            0.004984
                 154,            0.022545,             0.01493,           0.0020553,             0.97539,              0.9747,             0.97614,             0.74361,            0.021835,           0.0095932,           0.0013421,            0.004951,            0.004951,            0.004951
                 155,            0.023347,            0.013482,           0.0020006,             0.97556,             0.97548,             0.98336,             0.69975,            0.026136,           0.0099909,            0.001297,            0.004918,            0.004918,            0.004918
                 156,            0.024593,             0.01524,           0.0023006,             0.98423,             0.97717,             0.97964,             0.73618,            0.022763,           0.0096493,           0.0012562,            0.004885,            0.004885,            0.004885
                 157,            0.026021,            0.014691,           0.0023398,             0.98063,             0.96472,             0.97518,             0.68132,            0.026312,            0.010088,           0.0012566,            0.004852,            0.004852,            0.004852
                 158,            0.024561,            0.015121,            0.002872,             0.97989,             0.97037,             0.98053,             0.73729,            0.023296,            0.010023,           0.0013071,            0.004819,            0.004819,            0.004819
                 159,            0.023832,            0.014028,           0.0020341,             0.97087,             0.96339,             0.97579,             0.70996,            0.025646,            0.010138,           0.0012967,            0.004786,            0.004786,            0.004786
